Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Los Angeles Clippers,F,Caron Butler,Memphis Grizzlies,W,10/31/2012,34:25,5,12,0.417,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,3,10,-7
Los Angeles Clippers,F,Blake Griffin,Memphis Grizzlies,W,10/31/2012,32:09,4,10,0.4,0,0,0.0,3,5,0.6,2,5,7,2,0,1,4,4,11,4
Los Angeles Clippers,C,DeAndre Jordan,Memphis Grizzlies,W,10/31/2012,23:23,6,8,0.75,0,0,0.0,0,0,0.0,3,4,7,1,2,1,9,4,12,7
Los Angeles Clippers,G,Willie Green,Memphis Grizzlies,W,10/31/2012,28:53,2,7,0.286,2,2,1.0,1,2,0.5,0,4,4,1,0,1,0,2,7,21
Los Angeles Clippers,G,Chris Paul,Memphis Grizzlies,W,10/31/2012,34:14,4,10,0.4,0,2,0.0,4,6,0.667,0,4,4,12,4,0,2,2,12,-1
Los Angeles Clippers,F,Caron Butler,Los Angeles Lakers,W,11/02/2012,25:17,5,7,0.714,2,3,0.667,2,2,1.0,0,2,2,0,1,1,2,1,14,4
Los Angeles Clippers,F,Blake Griffin,Los Angeles Lakers,W,11/02/2012,33:07,6,15,0.4,0,1,0.0,3,5,0.6,3,5,8,3,2,0,4,6,15,15
Los Angeles Clippers,C,DeAndre Jordan,Los Angeles Lakers,W,11/02/2012,22:58,2,3,0.667,0,0,0.0,0,3,0.0,2,3,5,0,0,2,0,3,4,7
Los Angeles Clippers,G,Willie Green,Los Angeles Lakers,W,11/02/2012,13:16,3,6,0.5,2,5,0.4,0,0,0.0,0,1,1,1,1,0,1,3,8,3
Los Angeles Clippers,G,Chris Paul,Los Angeles Lakers,W,11/02/2012,34:02,7,15,0.467,1,3,0.333,3,4,0.75,0,6,6,15,3,0,1,3,18,19
Los Angeles Clippers,F,Caron Butler,Golden State Warriors,L,11/03/2012,31:35,8,10,0.8,4,5,0.8,0,1,0.0,0,1,1,1,0,1,2,3,20,-2
Los Angeles Clippers,F,Blake Griffin,Golden State Warriors,L,11/03/2012,37:58,4,12,0.333,0,0,0.0,11,16,0.688,2,9,11,4,3,0,2,5,19,3
Los Angeles Clippers,C,DeAndre Jordan,Golden State Warriors,L,11/03/2012,22:14,2,4,0.5,0,0,0.0,0,2,0.0,3,5,8,0,0,2,1,6,4,-2
Los Angeles Clippers,G,Willie Green,Golden State Warriors,L,11/03/2012,15:54,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,0,0,0,1,2,2,-13
Los Angeles Clippers,G,Chris Paul,Golden State Warriors,L,11/03/2012,33:15,3,9,0.333,2,2,1.0,19,20,0.95,0,2,2,10,1,0,5,3,27,2
Los Angeles Clippers,F,Caron Butler,Cleveland Cavaliers,L,11/05/2012,21:45,4,9,0.444,3,6,0.5,0,0,0.0,0,1,1,2,0,0,1,3,11,-3
Los Angeles Clippers,F,Blake Griffin,Cleveland Cavaliers,L,11/05/2012,35:24,9,14,0.643,0,1,0.0,2,2,1.0,0,6,6,5,1,3,5,2,20,-11
Los Angeles Clippers,C,DeAndre Jordan,Cleveland Cavaliers,L,11/05/2012,29:23,5,7,0.714,0,0,0.0,0,1,0.0,1,5,6,0,0,5,3,2,10,-4
Los Angeles Clippers,G,Willie Green,Cleveland Cavaliers,L,11/05/2012,21:08,3,4,0.75,1,2,0.5,2,2,1.0,0,2,2,0,0,1,1,3,9,-9
Los Angeles Clippers,G,Chris Paul,Cleveland Cavaliers,L,11/05/2012,34:18,6,10,0.6,1,4,0.25,4,4,1.0,1,4,5,9,1,0,2,4,17,-9
Los Angeles Clippers,F,Caron Butler,San Antonio Spurs,W,11/07/2012,21:08,2,6,0.333,0,2,0.0,0,0,0.0,1,2,3,3,1,0,2,3,4,8
Los Angeles Clippers,F,Blake Griffin,San Antonio Spurs,W,11/07/2012,29:56,10,16,0.625,0,0,0.0,2,3,0.667,0,10,10,3,0,1,2,2,22,29
Los Angeles Clippers,C,DeAndre Jordan,San Antonio Spurs,W,11/07/2012,27:01,10,12,0.833,0,0,0.0,0,0,0.0,3,8,11,0,2,4,1,1,20,23
Los Angeles Clippers,G,Willie Green,San Antonio Spurs,W,11/07/2012,17:18,5,5,1.0,1,1,1.0,0,0,0.0,0,2,2,1,1,0,0,0,11,14
Los Angeles Clippers,G,Chris Paul,San Antonio Spurs,W,11/07/2012,29:28,4,8,0.5,0,1,0.0,2,2,1.0,0,2,2,12,1,0,1,2,10,19
Los Angeles Clippers,F,Caron Butler,Portland Trail Blazers,W,11/08/2012,21:08,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,2,2,-4
Los Angeles Clippers,F,Blake Griffin,Portland Trail Blazers,W,11/08/2012,25:31,3,9,0.333,0,0,0.0,1,4,0.25,0,10,10,4,3,0,2,3,7,2
Los Angeles Clippers,C,DeAndre Jordan,Portland Trail Blazers,W,11/08/2012,28:05,8,10,0.8,0,0,0.0,5,7,0.714,6,2,8,1,0,1,1,5,21,7
Los Angeles Clippers,G,Willie Green,Portland Trail Blazers,W,11/08/2012,19:14,3,6,0.5,1,2,0.5,0,0,0.0,0,0,0,2,0,1,1,1,7,-3
Los Angeles Clippers,G,Chris Paul,Portland Trail Blazers,W,11/08/2012,33:47,9,17,0.529,0,1,0.0,3,3,1.0,0,4,4,6,3,0,2,1,21,5
Los Angeles Clippers,F,Caron Butler,Atlanta Hawks,W,11/11/2012,26:00,5,13,0.385,2,4,0.5,1,1,1.0,0,6,6,0,0,2,1,2,13,7
Los Angeles Clippers,F,Blake Griffin,Atlanta Hawks,W,11/11/2012,30:07,7,11,0.636,0,0,0.0,2,2,1.0,1,5,6,4,1,0,3,1,16,5
Los Angeles Clippers,C,DeAndre Jordan,Atlanta Hawks,W,11/11/2012,24:13,3,6,0.5,0,0,0.0,2,2,1.0,2,3,5,0,2,0,0,3,8,5
Los Angeles Clippers,G,Willie Green,Atlanta Hawks,W,11/11/2012,17:13,1,5,0.2,0,2,0.0,0,0,0.0,0,0,0,2,0,0,1,2,2,1
Los Angeles Clippers,G,Chris Paul,Atlanta Hawks,W,11/11/2012,31:24,7,12,0.583,1,3,0.333,0,0,0.0,0,2,2,8,1,0,1,2,15,5
Los Angeles Clippers,F,Caron Butler,Miami Heat,W,11/14/2012,25:39,5,11,0.455,3,5,0.6,2,2,1.0,0,2,2,0,0,0,1,1,15,2
Los Angeles Clippers,F,Blake Griffin,Miami Heat,W,11/14/2012,30:10,8,16,0.5,0,0,0.0,4,6,0.667,4,10,14,6,0,2,3,2,20,8
Los Angeles Clippers,C,DeAndre Jordan,Miami Heat,W,11/14/2012,26:28,4,6,0.667,0,0,0.0,0,1,0.0,1,5,6,1,0,0,0,2,8,0
Los Angeles Clippers,G,Willie Green,Miami Heat,W,11/14/2012,19:47,2,6,0.333,2,5,0.4,1,2,0.5,1,1,2,2,0,0,0,2,7,10
Los Angeles Clippers,G,Chris Paul,Miami Heat,W,11/14/2012,30:44,3,9,0.333,3,4,0.75,7,7,1.0,0,1,1,10,4,0,3,2,16,13
Los Angeles Clippers,F,Caron Butler,Chicago Bulls,W,11/17/2012,19:15,2,5,0.4,0,0,0.0,1,1,1.0,0,1,1,1,0,0,0,1,5,2
Los Angeles Clippers,F,Blake Griffin,Chicago Bulls,W,11/17/2012,33:02,11,18,0.611,0,0,0.0,4,5,0.8,2,8,10,2,2,0,4,3,26,16
Los Angeles Clippers,C,DeAndre Jordan,Chicago Bulls,W,11/17/2012,28:54,2,5,0.4,0,0,0.0,1,4,0.25,1,7,8,0,2,7,2,4,5,11
Los Angeles Clippers,G,Willie Green,Chicago Bulls,W,11/17/2012,20:38,2,6,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,2,4,6
